,STATION,LAT,LON,ELEV,DATE,PRCP,TMAX,TMIN,SNOW,SNWD
559080,USC00447338,36.9769,-79.8961,400.8,730804,0,222,6,0,0
559191,USC00447338,36.9769,-79.8961,400.8,730805,0,222,6,0,0
559303,USC00447338,36.9769,-79.8961,400.8,730806,0,222,6,0,0
559415,USC00447338,36.9769,-79.8961,400.8,730807,0,222,6,0,0
559527,USC00447338,36.9769,-79.8961,400.8,730808,0,222,6,0,0
559639,USC00447338,36.9769,-79.8961,400.8,730809,0,222,6,0,0
559751,USC00447338,36.9769,-79.8961,400.8,730810,0,222,6,0,0
559863,USC00447338,36.9769,-79.8961,400.8,730811,0,222,6,0,0
559975,USC00447338,36.9769,-79.8961,400.8,730812,0,222,6,0,0
560087,USC00447338,36.9769,-79.8961,400.8,730813,0,222,6,0,0
560199,USC00447338,36.9769,-79.8961,400.8,730814,0,222,6,0,0
560311,USC00447338,36.9769,-79.8961,400.8,730815,0,222,6,0,0
560423,USC00447338,36.9769,-79.8961,400.8,730816,0,222,6,0,0
560535,USC00447338,36.9769,-79.8961,400.8,730817,0,222,6,0,0
560647,USC00447338,36.9769,-79.8961,400.8,730818,0,222,6,0,0
560759,USC00447338,36.9769,-79.8961,400.8,730819,0,222,6,0,0
560863,USC00447338,36.9769,-79.8961,400.8,730820,0,222,61,0,0
560967,USC00447338,36.9769,-79.8961,400.8,730821,0,222,61,0,0
561071,USC00447338,36.9769,-79.8961,400.8,730822,0,222,61,0,0
561175,USC00447338,36.9769,-79.8961,400.8,730823,0,222,61,0,0
561279,USC00447338,36.9769,-79.8961,400.8,730824,0,222,61,0,0
561383,USC00447338,36.9769,-79.8961,400.8,730825,0,222,61,0,0
561487,USC00447338,36.9769,-79.8961,400.8,730826,0,222,61,0,0
561591,USC00447338,36.9769,-79.8961,400.8,730827,0,222,61,0,0
561695,USC00447338,36.9769,-79.8961,400.8,730828,0,222,61,0,0
561799,USC00447338,36.9769,-79.8961,400.8,730829,0,222,61,0,0
