DATE,PRCP,TMAX,TMIN,SNOW,SNWD
730804,0,222,6,0,0
730805,0,222,6,0,0
730806,0,222,6,0,0
730807,0,222,6,0,0
730808,0,222,6,0,0
730809,0,222,6,0,0
730810,0,222,6,0,0
730811,0,222,6,0,0
730812,0,222,6,0,0
730813,0,222,6,0,0
730814,0,222,6,0,0
730815,0,222,6,0,0
730816,0,222,6,0,0
730817,0,222,6,0,0
730818,0,222,6,0,0
730819,0,222,6,0,0
730820,0,222,61,0,0
730821,0,222,61,0,0
730822,0,222,61,0,0
730823,0,222,61,0,0
730824,0,222,61,0,0
730825,0,222,61,0,0
730826,0,222,61,0,0
730827,0,222,61,0,0
730828,0,222,61,0,0
730829,0,222,61,0,0
730830,0,222,61,0,0
730831,0,222,61,0,0
730832,0,222,61,0,0
730833,0,222,61,0,0
730834,0,222,61,0,0
730835,0,222,61,0,0
730836,0,222,61,0,0
730837,0,222,61,0,0
730838,0,222,61,0,0
730839,0,222,61,0,0
730840,0,222,61,0,0
730841,0,222,61,0,0
730842,0,222,61,0,0
730843,0,222,61,0,0
730844,0,222,61,0,0
730845,0,222,61,0,0
730846,0,222,61,0,0
730847,0,222,61,0,0
730848,0,222,61,0,0
730849,0,222,61,0,0
730850,0,222,61,0,0
730851,0,22,-94,0,0
730852,0,22,-94,0,0
730853,0,22,-94,0,0
730854,0,22,-94,0,0
730855,0,22,-94,0,0
730856,0,22,-94,0,0
730857,0,22,-94,0,0
730858,0,22,-94,0,0
730859,0,22,-94,0,0
730860,0,22,-94,0,0
730861,0,22,-94,0,0
730862,0,22,-94,0,0
730863,0,22,-94,0,0
730864,0,22,-94,0,0
730865,0,22,-94,0,0
730866,0,22,-94,0,0
730867,0,22,-94,0,0
730868,0,22,-94,0,0
730869,0,22,-94,0,0
730870,0,22,-94,0,0
730871,0,22,-94,0,0
730872,0,22,-94,0,0
730873,0,22,-94,0,0
730874,0,22,-94,0,0
730875,0,22,-94,0,0
730876,0,22,-94,0,0
730877,0,22,-94,0,0
730878,0,22,-94,0,0
730879,0,22,-94,0,0
730880,0,22,-94,0,0
730881,0,22,-94,0,0
730882,5,217,50,0,0
730883,5,217,50,0,0
730884,5,217,50,0,0
730885,5,217,50,0,0
730886,5,217,50,0,0
730887,5,217,50,0,0
730888,5,217,50,0,0
730889,5,217,50,0,0
730890,5,217,50,0,0
730891,5,217,50,0,0
730892,5,217,50,0,0
730893,5,217,50,0,0
730894,5,217,50,0,0
730895,5,217,50,0,0
730896,5,217,50,0,0
730897,5,217,50,0,0
730898,5,217,50,0,0
730899,5,217,50,0,0
730900,5,217,50,0,0
730901,5,217,50,0,0
730902,5,217,50,0,0
730903,5,217,50,0,0
730904,5,217,50,0,0
730905,5,217,50,0,0
730906,5,217,50,0,0
730907,5,217,50,0,0
730908,5,217,50,0,0
730909,5,217,50,0,0
730910,0,111,-89,0,0
730911,0,111,-89,0,0
730912,0,111,-89,0,0
730913,0,111,-89,0,0
730914,0,111,-89,0,0
