STATION,LAT,LON,ELEV,DATE,PRCP,TMAX,TMIN,SNOW,SNWD
USC00026796,34.5706,-112.4322,1586.5,730405,0,311,111,0,0
USC00082220,30.7244,-86.0939,74.7,725030,33,150,89,0,0
USC00049866,41.7036,-122.6408,800.1,724211,0,194,33,0,0
USC00052184,37.6911,-106.3078,2391.2,725893,0,200,6,0,0
USC00057167,38.0383,-103.6947,1271.0,728377,23,-50,-94,64,51
USC00059243,40.0819,-102.2069,1083.0,729849,0,272,67,0,0
USC00049866,41.7036,-122.6408,800.1,725003,0,50,-61,0,0
USC00027716,35.3322,-112.8797,1600.2,733875,0,194,-39,0,0
USC00082220,30.7244,-86.0939,74.7,727586,0,178,89,0,0
USC00057337,38.0858,-106.1444,2347.3,729777,0,44,-72,0,0
USC00059243,40.0819,-102.2069,1083.0,728970,0,17,-39,0,0
USC00017366,32.4111,-87.0144,44.8,725721,0,150,61,0,0
USC00051528,39.2203,-105.2783,2097.0,735019,18,183,-17,25,25
USC00024089,34.9094,-110.1544,1549.9,725870,0,150,28,0,0
USC00029271,33.8214,-109.9839,1575.8,729941,0,367,161,0,0
USC00062658,41.95,-73.3667,167.6,727921,0,56,-111,0,0
USC00049855,37.7503,-119.5897,1224.7,727636,0,78,-28,0,0
USC00053005,40.5764,-105.0858,1525.2,730392,8,267,128,0,0
USC00082220,30.7244,-86.0939,74.7,729498,0,278,144,0,0
USC00444909,39.1422,-77.7094,155.4,733417,0,67,-67,0,0
USC00059243,40.0819,-102.2069,1083.0,729426,0,100,-61,0,0
USC00054834,38.0636,-103.2153,1185.7,728144,0,339,183,0,0
USC00446626,36.7381,-82.9967,448.1,730947,251,106,33,0,0
USC00437054,44.42,-72.0194,213.4,736954,0,239,139,0,0
USC00018438,32.0142,-85.7464,134.1,728727,0,100,28,0,0
USC00011084,31.0583,-87.055,25.9,731978,0,144,33,0,0
USC00021248,36.1533,-109.5394,1709.9,731626,36,-22,-156,0,0
USC00449263,38.8969,-78.4678,205.7,730860,0,28,-133,0,0
USC00024849,36.8644,-111.6022,978.4,726219,0,272,100,0,0
USC00052446,38.4758,-102.7769,1283.8,723517,0,67,-39,0,0
USC00051564,38.8222,-102.3503,1309.1,726664,0,400,167,0,0
USC00079605,39.7739,-75.5414,82.3,732568,155,189,144,0,0
USC00028815,32.2292,-110.9536,742.2,731154,5,294,200,0,0
USC00442208,38.4547,-78.9353,413.9,733087,127,44,-72,0,0
USC00080228,27.2178,-81.8742,7.6,726559,457,294,183,0,0
USC00054076,38.0517,-102.1317,1036.6,724455,0,378,117,0,0
USC00027281,33.6731,-111.1508,672.1,730255,0,356,150,0,0
USC00450587,48.7178,-122.5114,4.6,732188,33,261,161,0,0
USC00079605,39.7739,-75.5414,82.3,733877,0,211,83,0,0
USC00057337,38.0858,-106.1444,2347.3,730147,0,39,-133,0,0
USC00082850,25.8489,-81.3897,1.5,730512,0,178,6,0,0
USC00082944,30.6669,-81.4525,14.9,724868,0,328,217,0,0
USC00068138,41.795,-72.2286,202.7,736532,97,278,206,0,0
USC00052184,37.6911,-106.3078,2391.2,733268,0,278,67,0,0
USC00052184,37.6911,-106.3078,2391.2,733746,0,56,-106,0,0
USC00053662,38.5253,-106.9672,2323.2,734645,0,189,-72,0,0
USC00013160,32.8347,-88.1342,38.1,726892,0,183,61,0,0
USC00029271,33.8214,-109.9839,1575.8,733356,0,261,39,0,0
USC00027281,33.6731,-111.1508,672.1,734026,0,356,222,0,0
